ID;Nome;SKU;Categoria;Preço;"Preço Promocional";Custo;"Quantidade Estoque";"Estoque Mínimo";Unidade;"Descrição Curta";Tags;Ativo;Destaque;"Data Criação"
98;"Dispenser Papel Higiênico – Premisse Velox";3-098;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
97;"Dispenser Papel Higiênico Cai Cai – Premisse";3-097;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
87;"Dispenser Papel Toalha Interfolhas – Nobre City";3-087;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
86;"Dispenser para Guardanapo – Nobre";3-086;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
96;"Dispenser Sabonete Líquido – Premisse Velox";3-096;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
85;"Dispenser Sabonete ou Álcool em Gel – Nobre City";3-085;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
101;"Dispenser Toalheiro – Premisse Velox";3-101;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
34;"Ecoponto Verde 2500lts – Lar Plástico";2-034;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:22"
155;"Enceradeira Industrial – Certec";6-158;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:36"
154;"Escova de Roupa de Madeira – Fimade";6-157;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:35"
153;"Escova de Roupa de Plástico – Fimade";6-156;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:35"
152;"Escova de Roupa de Plástico – Odim";6-155;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:35"
253;"Escova de Roupa Oval Madeira – Fimade";9-257;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
252;"Escova de Roupa Oval plástico – Fimade";9-256;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
251;"Escova de Unha – Fimade";9-255;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
317;"Escova Dental – Colgate";11-323;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:59"
151;"Esfregao Master 30cm – Odim";6-154;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:35"
35;"Estrado de Plástico 40×40 – Lar Plástico";2-035;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
36;"Estrado de Plastico 41x82cm – Lar Plástico";2-036;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:23"
